track_id,instance,end_date,best_week_position,weeks_on_chart
04MLEeAMuV9IlHEsD8vF6A,1,2019-02-16,60,20
09oZ9eXQ2fo6YDrPzJqAoP,1,2019-04-20,58,1
0BnTBAGmr9FtYwkZrwKhwS,1,2019-08-24,43,13
0CALOqrkXAE7WB2nyIATLk,1,2019-02-02,98,1
0DiDStADDVh3SvAsoJAFMk,1,2019-07-06,91,3
0DiDStADDVh3SvAsoJAFMk,2,2019-12-28,18,27
0FZ4Dmg8jJJAPJnvBIzD9z,1,2019-04-13,9,25
0PG9fbaaHFHfre2gUVo7AN,1,2019-07-13,3,20
0Ryd8975WihbObpp5cPW1t,1,2019-11-02,8,12
0TK2YIli7K1leLovkQiNik,1,2019-12-28,1,26
0bYg9bo50gSsH3LtXe2SQn,8,2019-01-05,3,29
0bYg9bo50gSsH3LtXe2SQn,9,2019-12-28,1,35
0c7K73roy6RW4ebDkf4yGh,1,2019-11-23,92,1
0d2iYfpKoM0QCKvcLCkBao,1,2019-07-20,9,52
0fea68AdmYNygeTGI4RC18,1,2019-09-14,98,1
0fea68AdmYNygeTGI4RC18,2,2019-11-09,93,4
0fea68AdmYNygeTGI4RC18,3,2019-12-14,84,8
0fySG6A6qLE8IvDpayb5bM,1,2019-12-28,21,12
0nbXyq5TXYPCO7pr3N8S4I,1,2019-12-28,18,2
0rIAC4PXANcKmitJfoqmVm,1,2019-11-02,33,10
0sf12qNH5qcw8qpgymFOqD,1,2019-12-28,11,3
0t3ZvGKlmYmVsDzBJAXK8C,1,2019-12-07,3,21
0tMSssfxAL2oV8Vri0mFHE,1,2019-04-13,63,1
0u2P5u6lvoDfwTYjAADbn4,3,2019-03-02,64,17
0u2P5u6lvoDfwTYjAADbn4,4,2019-04-13,85,22
0vrmHPfoBadXVr2n0m1aqZ,1,2019-06-22,83,1
116H0KvKr2Zl4RPuVBruDO,1,2019-04-27,19,27
13ZyrkCDmRz5xY3seuAWYk,1,2019-04-06,38,4
14mHfNsSHN0FbLftyjrV9g,1,2019-03-16,20,25
18PergoIrGmRyeYxnaXJN2,1,2019-05-11,41,4
1DUSuNhF8P5vUGNPpQiZa5,1,2019-03-30,77,2
1DUSuNhF8P5vUGNPpQiZa5,2,2019-04-20,55,3
1GeNui6m825V8jP4uKiIaH,1,2019-10-26,32,9
1Hd2XLitkt1PYCWSbfF5qV,1,2019-07-13,19,7
1Hd2XLitkt1PYCWSbfF5qV,2,2019-08-03,91,8
1Hd2XLitkt1PYCWSbfF5qV,3,2019-09-14,95,9
1Hd2XLitkt1PYCWSbfF5qV,4,2019-11-02,86,15
1HfMVBKM75vxSfsQ5VefZ5,1,2019-12-28,1,9
1LIqNVhaIgxXUt2eVoIQJ3,1,2019-06-08,96,1
1M4qEo4HE3PRaCOM7EXNJq,1,2019-12-28,24,2
1Pj5oOFzLYELyyeh1IYRK0,1,2019-04-27,61,6
1ThmUihH9dF8EV08ku5AXN,1,2019-05-18,87,11
1VJwtWR6z7SpZRwipI12be,1,2019-12-28,86,4
1ZDmxwg7Lywlx68b7SsJjj,1,2019-07-20,20,3
1ZDmxwg7Lywlx68b7SsJjj,2,2019-08-10,92,5
1ZMiCix7XSAbfAJlEZWMCp,1,2019-12-28,62,1
1c0hsvHLELX6y8qymnpLKL,1,2019-09-14,66,17
1e9oZCCiX42nJl0AcqriVo,1,2019-12-07,60,2
1e9oZCCiX42nJl0AcqriVo,2,2019-12-28,54,4
1iQDltZqI7BXnHrFy4Qo1k,1,2019-12-28,13,29
1iSqfoUFnQwV0QW1EfUit8,1,2019-12-28,58,4
1mpD5Q8IM32I4bF6eCpU74,1,2019-11-30,89,1
1nal3Tf1OCV53KigMZXsZ7,1,2019-12-07,55,2
1qyFlfPREPbRcS2BNszdYI,1,2019-08-17,68,1
1rqqCSm0Qe4I9rUvWncaom,3,2019-08-10,4,52
1wJRveJZLSb1rjhnUHQiv6,1,2019-05-18,38,20
1xzBco0xcoJEDXktl7Jxrr,1,2019-03-16,14,28
21RzyxY3EFaxVy6K4RqaU9,1,2019-03-02,80,8
21jGcNKet2qwijlDFuPiPb,1,2019-12-28,1,16
22vgEDb5hykfaTwLuskFGD,1,2019-11-30,1,38
25ZAibhr3bdlMCLmubZDVt,1,2019-08-03,65,4
25ZAibhr3bdlMCLmubZDVt,2,2019-08-24,99,5
25sgk305KZfyuqVBQIahim,1,2019-08-24,10,35
27rdGxbavYJeBphck5MZAF,1,2019-03-09,43,13
285pBltuF7vW8TeWk8hdRR,1,2019-04-06,18,46
285pBltuF7vW8TeWk8hdRR,2,2019-12-28,8,48
2B9wgj9XzbJZLty03PRbVo,1,2019-09-14,89,1
2Ec33AVlkTTq8BHFgBTdQs,1,2019-12-28,5,1
2FUNBaa5DwItJtYEBgAblU,1,2019-01-19,73,3
2FvD20Z8aoWIePi7PoN8sG,1,2019-11-02,28,4
2Fxmhks0bxGSBdJ92vM42m,1,2019-12-28,1,38
2GGMabyHXnJmjY6CXhhB2e,1,2019-04-27,13,26
2IRZnDFmlqMuOrYOLnZZyc,1,2019-08-24,10,37
2JvzF1RMd7lE3KmFlsyZD8,1,2019-08-03,4,27
2NSWi83peog6gHerzlMCqU,1,2019-11-16,79,1
2NSWi83peog6gHerzlMCqU,2,2019-12-07,81,2
2QpGZOhTCHHiKmpSO9FW4h,1,2019-12-14,7,6
2RSHsoi04658QL5xgQVov3,2,2019-05-04,56,9
2SasoXZyv82yYgHiVOvxQn,1,2019-11-16,23,2
2TH65lNHgvLxCKXM3apjxI,1,2019-11-02,52,20
2VxeLyX666F8uXCJ0dZF8B,1,2019-08-17,1,45
2W4yABdLc4Jnds67Poi5Nl,1,2019-12-28,81,6
2WyRfGeHo97VC5mP1BBSzr,1,2019-06-15,54,1
2WyRfGeHo97VC5mP1BBSzr,2,2019-07-20,83,3
2XU0oxnq2qxCpomAAuJY8K,1,2019-12-28,9,11
2Xo3rLHjXfdb4avN68aQyi,1,2019-12-28,92,2
2YpeDb67231RjR0MgVLzsG,1,2019-12-28,1,42
2b8fOow8UzyDFAE27YhOZM,1,2019-12-28,4,13
2dpaYNEQHiRxtZbfNsse99,1,2019-08-24,2,52
2gwkD6igEhQbDQegRCcdoB,1,2019-12-07,7,35
2iUXsYOEPhVqEBwsqP70rE,1,2019-05-11,14,48
2ksOAxtIxY8yElEWw8RhgK,1,2019-11-23,43,17
2ktxr00GpTtbMNeBjNeY8D,1,2019-12-14,58,2
2pnPe4pJtq7689i5ydzvJJ,2,2019-01-05,45,4
2qxmye6gAegTMjLKEBoR3d,1,2019-01-26,79,1
2qxmye6gAegTMjLKEBoR3d,2,2019-03-02,94,5
2qxmye6gAegTMjLKEBoR3d,3,2019-03-30,97,6
2qxmye6gAegTMjLKEBoR3d,4,2019-05-04,97,9
2sqsNXfN0HtgDEgaHXiUTa,1,2019-08-31,75,1
2swZ0X1njeU32SNJeBKIfW,1,2019-04-20,95,1
2t8yVaLvJ0RenpXUIAC52d,1,2019-06-08,12,23
2v5JTeM6hSmi5wWy7jiwrI,1,2019-05-18,62,9
2vdBo4ALPYbHRUPKgtE5iC,1,2019-03-02,25,2
2x0RZdkZcD8QRI53XT4GI5,1,2019-05-11,68,3
2x0RZdkZcD8QRI53XT4GI5,2,2019-05-25,94,4
2xE16muNCmhZwSOv3i1d1H,1,2019-09-28,76,1
2xLMifQCjDGFmkHkpNLD9h,1,2019-08-10,3,52
2xyx0o4xNOLLjBSbOOdcbA,1,2019-09-07,87,1
2xyx0o4xNOLLjBSbOOdcbA,2,2019-12-28,16,16
2zjGJ0dChMR0KxBZS15aqo,1,2019-08-10,88,3
2zjGJ0dChMR0KxBZS15aqo,2,2019-09-21,81,6
314ZkcV7oLWG8yWE7LABvH,1,2019-11-02,76,1
35Xf2ABjPzUXKz19akd7Jj,1,2019-12-28,83,1
364spZLB5bhNlnPrzvUB41,1,2019-12-07,49,2
36TO60sxDduIsO3xH8IcUh,1,2019-06-15,59,2
39LmTF9RgyakzSYX8txrow,1,2019-01-19,63,4
39LmTF9RgyakzSYX8txrow,2,2019-02-02,99,5
39LmTF9RgyakzSYX8txrow,3,2019-03-09,21,8
3A2yGHWIzmGEIolwonU69h,1,2019-08-03,26,21
3BXXkwyhsHM0EPApHMhQC5,1,2019-03-09,91,1
3EPXxR3ImUwfayaurPi3cm,1,2019-05-25,23,29
3GJ4hzg4lrGwU51Y3VARbF,1,2019-02-16,24,22
3GJ4hzg4lrGwU51Y3VARbF,2,2019-10-05,26,40
3HVWdVOQ0ZA45FuZGSfvns,1,2019-12-14,2,30
3Ol2xnObFdKV9pmRD2t9x8,1,2019-07-20,27,31
3QzAOrNlsabgbMwlZt7TAY,1,2019-12-28,14,22
3SZqA7rQvROJsCbUu2v0xa,1,2019-09-21,49,19
3TTMUI5dFcbeNSDTTDY9M8,1,2019-11-23,42,6
3Tc57t9l2O8FwQZtQOvPXK,1,2019-05-04,43,4
3UYiU57SMiAS5LqolhHJw1,1,2019-10-05,60,3
3VyjsVV24RmBIbWJAeUJNu,1,2019-12-28,43,3
3WRIaWsws011vHMd9uzPjG,1,2019-02-16,47,3
3XF5xLJHOQQRbWya6hBp7d,2,2019-05-25,41,8
3XiNC94b4Tq1xwv70sQJGN,1,2019-08-03,28,15
3XiNC94b4Tq1xwv70sQJGN,2,2019-08-24,94,16
3Yh9lZcWyKrK9GjbhuS0hR,1,2019-12-28,3,17
3ZCTVFBt2Brf31RLEnCkWJ,1,2019-12-28,8,6
3cphb8kdsjElYR7r5icK3H,1,2019-10-19,83,1
3cphb8kdsjElYR7r5icK3H,2,2019-12-28,63,10
3e9HZxeyfWwjeyPAMmWSSQ,1,2019-05-25,1,28
3eekarcy7kvN4yt5ZFzltW,1,2019-12-28,1,11
3f5lA8nnc4YYF1qf78WpHw,1,2019-03-30,61,20
3g0mEQx3NTanacLseoP0Gw,1,2019-08-10,69,1
3g0mEQx3NTanacLseoP0Gw,2,2019-08-31,98,2
3jbT1Y5MoPwEIpZndDDwVq,1,2019-10-12,86,2
3msKIQc0Yjuz3Zn39g3KLX,1,2019-07-13,67,1
3oh6SCCeLuXhFpEyepla6G,1,2019-06-08,8,20
3wwo0bJvDSorOpNfzEkfXx,1,2019-12-28,78,1
3yOlyBJuViE2YSGn3nVE1K,1,2019-12-28,61,2
41MCdlvXOl62B7Kv86Bb1v,1,2019-04-06,41,3
41MCdlvXOl62B7Kv86Bb1v,2,2019-12-21,87,4
41zXlQxzTi6cGAjpOXyLYH,1,2019-01-26,96,3
421eObjg0DTm2qajJl5OJm,1,2019-12-14,98,2
43rA71bccXFGD4C8GOpIlN,1,2019-09-14,28,2
44ADyYoY5liaRa3EOAl4uf,1,2019-10-05,47,6
45Egmo7icyopuzJN0oMEdk,1,2019-02-16,27,51
4CMrdHWqic0usIZfTrKoI3,1,2019-12-28,88,7
4IO8X9W69dIQe0EC5ALXhq,1,2019-11-23,55,2
4QIo4oxwzzafcBWkKjDpXY,1,2019-05-04,35,4
4S4Mfvv03M1cHgIOJcbUCL,1,2019-11-16,85,1
